question_id,rodada,criterio_numero,criterio_nome,eixo,fonte_diagnostico
808,1,11,Comando do enunciado deve ser explícito,FE,codigo
808,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
808,2,4,Correção factual do gabarito,FE,ambos
808,2,11,Comando do enunciado explícito,FE,codigo
818,1,7,Distratores devem ser plausíveis,FE,codigo
818,1,17,Aderência ao nível de Bloom declarado,AP,ambos
818,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
818,2,17,Aderência ao nível de Bloom declarado,AP,ambos
818,2,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
827,1,11,Comando do enunciado deve ser explícito,FE,codigo
827,1,17,Aderência ao nível de Bloom declarado,AP,llm
827,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
827,1,7,Distratores devem ser plausíveis (remoção de termos absolutos),FE,codigo
827,2,17,Aderência ao nível de Bloom declarado,AP,ambos
827,2,5,Paralelismo: extensão homogênea,FE,ambos
827,2,6,Gabarito não deve se destacar por tamanho,FE,ambos
827,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,ambos
840,1,5,Paralelismo: extensão homogênea,FE,codigo
840,1,17,Aderência ao nível de Bloom declarado,AP,codigo e llm
840,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
840,2,17,Aderência ao nível de Bloom declarado,AP,llm
840,2,5,Paralelismo: extensão homogênea,FE,codigo
844,1,11,Comando do enunciado deve ser explícito,FE,codigo
844,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
844,2,17,Aderência ao nível de Bloom declarado,AP,llm
