question_id,discipline,question_type,taxonomy_level,base_text,stem,statement_i,statement_ii,statement_iii,statement_iv,assertion_i,assertion_ii,option_a,option_b,option_c,option_d,option_e,correct_option
127,RESPONSABILIDADE SOCIAL E AMBIENTAL,Múltipla Escolha Complexa,Analisar,"Uma empresa de médio porte do setor têxtil, pressionada por críticas sobre impactos socioambientais, decide revisar sua abordagem de responsabilidade social corporativa. Até então, concentrava seus esforços em doações pontuais a instituições de caridade e em ações de marketing voltadas à imagem da marca. Na nova fase, a diretoria propõe integrar critérios sociais e ambientais ao planejamento estratégico, redefinir metas de desempenho e rever processos da cadeia de suprimentos, priorizando fornecedores com práticas laborais e ambientais mais rigorosas. Também está em discussão a criação de canais estruturados de diálogo com trabalhadores, comunidade local e clientes, bem como a divulgação periódica de informações sobre resultados econômicos, sociais e ambientais em relatórios específicos. Com base nesse contexto, avaliem-se as possíveis decisões da diretoria quanto à responsabilidade social corporativa e suas implicações estratégicas.","Considerando o contexto apresentado, é correto APENAS o que se afirma em:","Manter doações eventuais a projetos sociais, mas condicioná-las a áreas diretamente relacionadas ao negócio têxtil, sem alterar processos internos, para preservar a agilidade operacional da empresa.","Rever contratos com fornecedores que descumprem normas trabalhistas ou ambientais, ainda que isso implique custos de transição, buscando alinhar a cadeia de valor aos novos critérios socioambientais da empresa.","Instituir processo sistemático de consulta a empregados, comunidade e clientes, vinculando resultados desse diálogo à revisão de metas e indicadores da estratégia corporativa.","Concentrar a responsabilidade social da empresa em campanhas publicitárias que destaquem suas ações de doação e patrocínio, reforçando principalmente o reconhecimento da marca junto ao público.",,,I e III estão corretas,II e IV estão corretas,I e III estão corretas,"I, II e III estão corretas","I, II, III e IV estão corretas",A
131,MICROBIOLOGIA E IMUNOLOGIA,Múltipla Escolha Simples,Avaliar,"Uma equipe de Microbiologia acompanha um surto de infecção respiratória viral em uma unidade de clínica médica. Alguns pacientes apresentam febre alta, mialgia intensa, mal-estar e queda do estado geral, embora exames laboratoriais mostrem carga viral em declínio após o início da resposta imune. Em uma visita multiprofissional, o médico responsável sugere intensificar a prescrição de anti-inflamatórios para pacientes febris, argumentando que a redução rápida da temperatura facilitaria a recuperação. A biomédica do setor, com experiência em virologia e imunologia, pondera que a destruição de células infectadas por linfócitos e a liberação consequente de enzimas, citocinas e outros mediadores estão intimamente relacionadas aos sintomas observados, os quais podem contribuir para o controle da infecção viral em andamento.","Considerando a relação entre resposta imune antiviral, dano celular e sintomas sistêmicos, identifique a alternativa que apresenta a conduta mais adequada que a biomédica deve defender diante da proposta do médico.",,,,,,,"Argumentar que a febre e o mal-estar fazem parte da resposta de controle da infecção, recomendar uso criterioso de antitérmicos em situações de risco ou desconforto intenso e propor monitoramento próximo dos sinais clínicos.","Reconhecer a relevância da resposta imune e sugerir anti-inflamatórios em pacientes com febre mais elevada ou comorbidades, buscando alívio sintomático, mas sem recomendar fármacos que reduzam de forma ampla a ativação de linfócitos.","Recomendar prioridade ao uso de analgésicos leves para controle da dor, reservando a redução da febre para situações em que a intensidade dos sintomas comprometa o estado geral ou a adesão ao tratamento.","Orientar a redução gradual de fármacos que interfiram na inflamação e na febre em pacientes estáveis, mantendo margem para intervenção sintomática em casos de piora clínica ou risco de descompensação.","Sugerir corticosteroides em dose moderada como primeira opção para alívio sintomático em pacientes com febre e mialgia, com o objetivo principal de reduzir a produção de citocinas ligadas à resposta antiviral.",A
132,Geografia Econômica,Afirmação Incompleta,Avaliar,"A consolidação da Geografia econômica como sub-ramo da Geografia resultou de debates sobre como atividades produtivas, circulação, localização e organização do espaço se articulam com a dinâmica do capital e dos territórios. No caso brasileiro, diferentes autores contribuíram para esse campo ao relacionar industrialização, regionalização e planejamento do espaço.","Considerando a evolução da Geografia econômica, uma formulação historicamente mais adequada para sua consolidação é a de que ela se constituiu como estudo da ...",,,,,,,distribuição espacial das atividades econômicas e de suas relações com a organização do espaço geográfico.,variação temporal dos preços e da inflação como fenômenos explicados apenas por modelos matemáticos abstratos.,"descrição das paisagens naturais sem conexão com a produção, a circulação e o consumo.","análise exclusiva do comércio internacional, desconsiderando a produção e a localização industrial.","quantificação dos recursos naturais, independentemente das relações sociais e territoriais que os produzem e distribuem.",A
138,Educação de Jovens e Adultos,Afirmação Incompleta,Avaliar,"Na Educação de Jovens e Adultos, o planejamento pedagógico precisa considerar que os estudantes chegam à escola com trajetórias marcadas por experiências de trabalho, responsabilidades familiares, interrupções escolares e diferentes modos de apropriação da cultura escrita.","Nesse contexto, uma proposta didática coerente com as características e necessidades desses sujeitos deve priorizar ...",,,,,,,"a valorização dos saberes prévios e a organização de percursos de aprendizagem flexíveis, contextualizados e significativos.","a padronização dos conteúdos e do ritmo de ensino, de modo a garantir que todos avancem simultaneamente pelo mesmo currículo.","a centralidade exclusiva da memorização de conteúdos escolares, independentemente das experiências de vida dos estudantes.","a antecipação do ensino de conteúdos abstratos complexos, para acelerar a adaptação dos estudantes ao modelo regular.","a homogeneização das turmas a partir de uma única sequência didática, desconsiderando as trajetórias e os tempos de aprendizagem.",A
139,Educação de Jovens e Adultos,Afirmação Incompleta,Analisar,"Uma professora de Educação de Jovens e Adultos, ao iniciar um novo módulo, percebe que o livro adotado pela escola apresenta textos e atividades voltados a crianças, com exemplos distantes da realidade de seus estudantes, compostos majoritariamente por trabalhadores urbanos, desempregados e donas de casa. Em reunião pedagógica, a coordenação defende que o livro seja usado como eixo de planejamento, mas destaca que o material não deve ser tomado como roteiro único, pois os alunos demonstram forte interesse em temas como direitos trabalhistas, organização comunitária e uso de tecnologias no cotidiano. Diante disso, a professora decide reorganizar suas aulas, articulando o livro com outros materiais, para que os conteúdos dialoguem com as experiências e expectativas formativas do grupo, favorecendo a participação ativa e o desenvolvimento de leitura crítica.","Na situação descrita, para que os materiais didáticos contribuam para um olhar crítico e reflexivo sobre o processo de ensino e aprendizagem na EJA, a ação mais adequada da professora consiste em",,,,,,,"articular o uso do livro escolar com documentos do cotidiano dos estudantes, como notícias, panfletos e músicas, organizando atividades em que os alunos comparem diferentes materiais e discutam suas relações com a própria experiência de vida.","substituir o livro escolar por textos acadêmicos extensos, planejando atividades centradas na exposição oral da professora, de modo que os estudantes recebam informações mais atualizadas sobre os temas de interesse.","seguir a sequência proposta pelo livro escolar e acrescentar exercícios de fixação, mantendo os exemplos infantis, para evitar conflitos com a coordenação e garantir a padronização das aulas.","utilizar o livro escolar apenas como fonte de exercícios de leitura e escrita, evitando trazer outros materiais, para que os estudantes se acostumem à linguagem escolar formal independente de suas trajetórias.","organizar as aulas a partir de relatos orais dos estudantes, dispensando o uso de livros, jornais ou outros materiais, para que a experiência vivida seja o único foco do processo educativo.",A
140,Arte Contemporânea,Asserção-Razão,Avaliar,"Uma artista contemporânea organiza uma exposição voltada à crítica do consumo e do estatuto dos objetos industrializados na vida cotidiana. Em vez de fabricar peças manualmente, ela seleciona utensílios produzidos em série, recolhidos em diferentes ambientes urbanos, e os reinsere em um percurso expositivo que explora contradições entre arte, mercadoria e experiência do público. Ao deslocar esses artefatos para o contexto institucional da arte e propor arranjos híbridos entre escultura, instalação e comentário social, a artista reivindica a centralidade da escolha, do enquadramento e da proposição conceitual como núcleo de sua prática. Nesse processo, aproxima-se de debates inaugurados pelos ready-mades e pela atitude de antiarte, problematizando tanto o valor de uso quanto os significados simbólicos atribuídos a objetos industrializados quando são submetidos a dispositivos museais e curatoriais contemporâneos.","A respeito dessas asserções, assinale a alternativa correta.",,,,,"Ao escolher e deslocar objetos industrializados do cotidiano para o espaço expositivo, tratando a seleção e a recontextualização como gesto central, a artista avalia criticamente os limites do que pode ser reconhecido como arte, deslocando o foco da habilidade manual para a decisão conceitual.","PORQUE, ao aproximar-se de debates inaugurados pelos ready-mades e pela atitude de antiarte, a artista reforça a ideia de que a elevação de um objeto comum à condição de obra depende menos da autoria técnica e mais da operação de escolha, do contexto de apresentação e da problematização crítica de sua função e de seus sentidos na vida cotidiana.","As duas asserções são proposições verdadeiras, e a segunda é uma justificativa correta da primeira.","As duas asserções são proposições verdadeiras, mas a segunda não é uma justificativa correta da primeira.","A primeira asserção é uma proposição verdadeira, e a segunda é uma proposição falsa.","A primeira asserção é uma proposição falsa, e a segunda é uma proposição verdadeira.",As duas asserções são proposições falsas.,A
141,Geometria Espacial,Múltipla Escolha Simples,Avaliar,"Em uma maquete de uma praça, três pontos distintos $A$, $B$ e $C$ representam três postes não alinhados. Um estudante deseja apoiar uma placa rígida de modo que ela fique totalmente determinada por esses três postes, sem poder “girar” livremente ao redor deles. Ao analisar o modelo, ele afirma que uma única superfície plana é fixada por esses três pontos.","Considerando os postulados da Geometria Espacial, qual justificativa melhor avalia a afirmação do estudante?",,,,,,,"A afirmação é correta, pois três pontos não colineares determinam um único plano, garantindo a rigidez da placa.","A afirmação é incorreta, pois somente dois pontos determinam um plano, sendo o terceiro ponto apenas conferência da posição.","A afirmação é incorreta, pois três pontos sempre determinam apenas uma reta, e não um plano.","A afirmação é correta, mas apenas se os três pontos forem colineares, pois isso evita ambiguidade geométrica.","A afirmação é incorreta, pois um plano só pode ser determinado por quatro pontos distintos no espaço.",A
145,FISIOTERAPIA DERMATOFUNCIONAL,Afirmação Incompleta,Analisar,"Uma fisioterapeuta dermatofuncional recebe, em ambulatório, um paciente adulto no segundo mês após extensa queimadura térmica em tronco e membros superiores. O paciente refere dor moderada, sensação de repuxamento e dificuldade para elevar os ombros e estender os cotovelos, após longo período de internação em unidade de terapia intensiva. No exame físico, a profissional identifica cicatrizes elevadas, espessas, avermelhadas e pruriginosas. Algumas permanecem confinadas aos limites da queimadura, compatíveis com cicatriz hipertrófica, enquanto outras apresentam crescimento progressivo além do contorno inicial, com bordas exuberantes, compatíveis com queloide. Observa ainda limitação importante de amplitude de movimento em articulações próximas às cicatrizes e alterações posturais decorrentes de retração tecidual, exigindo organização minuciosa dos achados para subsidiar o planejamento terapêutico.","Ao organizar esses achados para planejar o tratamento fisioterapêutico dermatofuncional do paciente queimado, a conduta avaliativa mais adequada é",,,,,,,"diferenciar e registrar sistematicamente as cicatrizes hipertróficas e os queloides, relacionando o padrão de crescimento e espessamento cicatricial às limitações de amplitude de movimento e às alterações posturais observadas nas articulações vizinhas.","classificar globalmente as cicatrizes elevadas como processo cicatricial intenso, priorizando a descrição de dor e coceira, sem discriminar o impacto específico dos diferentes padrões de cicatrização sobre a função articular.","descrever principalmente a coloração e o prurido das cicatrizes, atribuindo a maior parte das limitações de movimento ao período de imobilidade durante a internação em unidade de terapia intensiva, com análise reduzida da influência mecânica das cicatrizes.","agrupar as cicatrizes elevadas como manifestações inflamatórias inespecíficas, focalizando a avaliação na possibilidade de uso de recursos analgésicos e pruriginolíticos, sem explorar de forma detalhada a relação com postura e amplitude de movimento.","priorizar a mensuração de força muscular global com dinamometria de segmentos proximais e distais, assumindo que o padrão de cicatrização exerce repercussão discreta sobre a mobilidade articular e o alinhamento postural.",A
149,ANALISE DE INVESTIMENTOS E FONTES DE FINANCIAMENTO,Afirmação Incompleta,Aplicar,"Uma companhia de capital aberto apresentou lucro líquido crescente nos últimos anos e, no exercício atual, decidiu reduzir a distribuição de dividendos para reforçar o financiamento de um plano de expansão interna. O diretor financeiro sustenta que a retenção de parte do resultado evita custos de emissão de novas ações e eleva a participação do capital próprio na estrutura de financiamento. Alguns conselheiros, porém, argumentam que o valor retido representa recursos que os acionistas deixariam de aplicar em alternativas disponíveis no mercado, com determinado retorno esperado. Na reunião orçamentária, a área de finanças deverá considerar que a decisão de utilizar lucros retidos no plano de expansão envolve um encargo econômico, associado à remuneração requerida pelos investidores para assumir o risco do negócio, que servirá de referência para avaliar a atratividade dos projetos de investimento planejados.","Assinale a alternativa que completa corretamente a afirmação a seguir: Para que a área de finanças avalie adequadamente o encargo econômico associado ao uso dos lucros retidos no plano de expansão, a equipe deve",,,,,,,estimar a remuneração mínima exigida pelos acionistas para recursos equivalentes no mercado e usar essa taxa como referência para avaliar os projetos financiados com os lucros retidos.,projetar a taxa média de juros dos empréstimos bancários disponíveis e adotar esse percentual como parâmetro central para decidir sobre o reinvestimento dos lucros.,calcular a média histórica dos dividendos distribuídos e aplicar esse valor absoluto como limite máximo para o montante a ser reinvestido no plano de expansão.,"utilizar a taxa de inflação esperada no período como medida principal do encargo econômico dos lucros retidos, equiparando a preservação do poder de compra ao retorno requerido.","adotar a taxa de crescimento recente do faturamento como medida direta do encargo econômico dos lucros retidos, assumindo que esse crescimento representa o retorno esperado pelos acionistas.",A
151,Cálculo Diferencial e Integral III,Afirmação Incompleta,Criar,"Em problemas de engenharia e de geometria analítica, a descrição local de uma superfície em um ponto pode ser feita por meio de um plano tangente, obtido a partir de derivadas parciais de uma função de duas variáveis.","Se z=f(x,y) é diferenciável em um ponto (a,b), então o plano tangente ao gráfico de f nesse ponto é dado por ...",,,,,,,"z-f(a,b)=f_x(a,b)(x-a)+f_y(a,b)(y-b).","z+f(a,b)=f_x(a,b)(x-a)+f_y(a,b)(y-b).","z-f(a,b)=f_x(a,b)(y-b)+f_y(a,b)(x-a).","z=f(a,b)+f_x(a,b)(x-a)^2+f_y(a,b)(y-b)^2.","z-f(a,b)=f_x(a,b)(x+a)+f_y(a,b)(y+b).",A
160,Semântica,Asserção-Razão,Avaliar,"Em uma equipe responsável pela revisão de um dicionário escolar destinado a estudantes do ensino superior, a lexicógrafa precisa definir como registrar a palavra “banco” em verbetes de consulta rápida. A obra será usada em leitura e produção textual, de modo que o tratamento do item lexical deve favorecer a identificação precisa dos sentidos sem fragmentar indevidamente a entrada. Nesse contexto, ela analisa se os empregos ligados ao estabelecimento financeiro, ao assento e ao conjunto de peixes devem ser organizados no mesmo verbete, com divisão interna por acepções e exemplos, ou se cada uso exige uma entrada autônoma. A decisão precisa considerar a relação entre unidade lexical, polissemia e estratégia de consulta do usuário, evitando tanto a dispersão excessiva quanto a sobreposição de significados sem critério.","A respeito dessas asserções, assinale a alternativa correta.",,,,,"Em um dicionário escolar de consulta rápida, a palavra “banco” pode ser registrada em um único verbete quando os diferentes empregos forem organizados internamente por acepções, com marcas de uso e exemplos que distingam cada sentido.","PORQUE a polissemia permite que uma mesma forma lexical concentre sentidos relacionados ou estabilizados pelo uso, e essa organização interna do verbete atende melhor à identificação do significado pelo consulente do que a criação de verbetes totalmente independentes para cada emprego.","As duas asserções são proposições verdadeiras, e a segunda é uma justificativa correta da primeira.","As duas asserções são proposições verdadeiras, mas a segunda não é uma justificativa correta da primeira.","A primeira asserção é uma proposição verdadeira, e a segunda é uma proposição falsa.","A primeira asserção é uma proposição falsa, e a segunda é uma proposição verdadeira.",As duas asserções são proposições falsas.,A
165,ARTE CONTEMPORÂNEA,Múltipla Escolha Simples,Avaliar,"Uma curadora desenvolve uma exposição sobre a produção contemporânea influenciada pela Pop Art. No projeto inicial, ela decide que o percurso deve evidenciar como artistas atuais dialogam criticamente com a cultura de consumo, explorando imagens amplamente reconhecíveis pelo público. Para isso, analisa obras que recorrem a fotografias de celebridades, embalagens de produtos e frames de campanhas publicitárias, organizando-as em núcleos que tensionam glamour e banalidade, desejo e saturação visual. Em reunião com a equipe, surge a dúvida: até que ponto a mostra deve enfatizar o brilho sedutor das imagens ou o comentário crítico sobre a sociedade de consumo? A curadora precisa tomar decisões curatoriais que aproximem o público desses símbolos familiares sem transformar a exposição em vitrine acrítica de consumo.","Considerando a situação descrita e os conceitos fundamentais da Pop Art, identifique a alternativa que apresenta uma decisão curatorial que reforça de modo mais consistente o caráter crítico do movimento em relação à cultura de massa.",,,,,,,"Organizar as obras de modo que imagens sedutoras de consumo sejam apresentadas em repetições exaustivas e justapostas a contextos banais, incentivando o público a confrontar o excesso de apelos visuais e seus efeitos na experiência cotidiana.","Selecionar obras que exaltem marcas famosas e celebridades em composições visualmente atraentes, destacando o fascínio do design publicitário como forma de valorizar a sofisticação estética da cultura de consumo.","Distribuir as obras de forma que cada sala simule um ambiente de loja de departamentos, com iluminação direcionada e disposição de peças como produtos, buscando reproduzir o clima envolvente das vitrines comerciais.","Agrupar as obras que utilizam imagens de produtos em um núcleo e as que utilizam imagens de celebridades em outro, mantendo uma separação clara entre esses conjuntos para facilitar a identificação imediata dos temas representados.","Priorizar obras que substituam grande parte das imagens de mídia e anúncios por formas abstratas, a fim de reduzir o foco do público em referências diretas à cultura de massa durante a visita.",A
167,MICROBIOLOGIA E IMUNOLOGIA,Afirmação Incompleta,Analisar,"Um grupo de pesquisadores analisa uma amostra de sangue periférico de um paciente com infecção viral aguda e discreta redução na quantidade de linfócitos B circulantes. O hemograma evidencia porcentagem global de linfócitos dentro da faixa esperada, mas a citometria de fluxo mostra aumento relativo de uma população linfocitária grande, com citoplasma abundante e granulações, que não apresenta os marcadores usuais das populações B e T. Paralelamente, observa-se redução na carga viral ao longo dos dias, antes do pico de produção de anticorpos séricos específicos. Diante desse cenário, a equipe discute quais células participam da contenção inicial da infecção e qual tipo de resposta imune é predominante nesta fase, considerando a contribuição de diferentes subtipos linfocitários na eliminação de células infectadas e na coordenação entre componentes celulares e humorais da resposta imune adaptativa.","Nesse cenário clínico, a participação predominante das células citotóxicas granulares descritas se relaciona mais adequadamente ao fato de",,,,,,,"atuarem contra células infectadas de forma independente da produção de imunoglobulinas, contribuindo para o controle inicial antes da resposta mediada por anticorpos.",substituírem a função dos linfócitos B ao secretarem diretamente imunoglobulinas que neutralizam o vírus ainda na fase inicial da infecção.,"gerarem, a partir da interação com antígenos solúveis, receptores específicos para cada vírus, responsáveis pela memória imunológica duradoura.","diferenciarem-se em plasmócitos de vida longa após contato com o vírus, garantindo aumento sustentado da concentração de anticorpos séricos.",organizarem o recrutamento de linfócitos T auxiliares por meio da apresentação de antígenos virais em moléculas do complexo principal de histocompatibilidade de classe II.,A
171,FUNCIONAMENTO DA EDUCAÇÃO BRASILEIRA E POLÍTICAS PÚBLICAS,Afirmação Incompleta,Analisar,"Uma secretaria municipal de educação elabora seu plano plurianual com a intenção de ampliar vagas na educação infantil e no ensino médio. Para fundamentar essa decisão, a equipe técnica precisa interpretar a organização dos níveis e etapas da educação nacional prevista na legislação, bem como analisar dados de matrícula, fluxo e atendimento. Ao estruturar o diagnóstico, torna-se indispensável distinguir quais etapas integram a educação básica e quais pertencem à educação superior, reconhecendo que, nesta última, há organização própria de cursos de graduação e de distintas formas de pós-graduação, com finalidades e requisitos específicos. Também é necessário identificar modalidades que atravessam diferentes níveis, como aquelas destinadas a jovens e adultos ou a pessoas com deficiência, já que essa compreensão é decisiva para definir metas, formação docente e fontes de financiamento compatíveis com cada etapa e modalidade.","Para organizar adequadamente o diagnóstico e relacionar metas e recursos às responsabilidades de cada rede, a equipe técnica deve",,,,,,,"diferenciar as etapas da educação básica das da educação superior, reconhecendo que a educação infantil, o ensino fundamental e o ensino médio compõem a primeira, enquanto a segunda se estrutura em cursos de graduação e em diferentes modalidades de pós-graduação, e identificando as modalidades que podem ocorrer em ambos os níveis.","classificar a educação infantil, o ensino fundamental, o ensino médio e os cursos de graduação como partes de um mesmo nível escolar, tratando a pós-graduação como modalidade específica voltada ao atendimento de públicos diferenciados.","organizar as etapas de escolarização obrigatória e não obrigatória em um conjunto ampliado, concentrando a distinção sobretudo nas modalidades que atendem jovens, adultos e pessoas com deficiência, independentemente do nível em que ocorram.","considerar a educação infantil e a educação superior como etapas agrupadas em um mesmo nível, reservando outro nível para o ensino fundamental e o ensino médio, em função do peso desses últimos no atendimento da população.","distribuir as etapas de ensino segundo o tipo de público atendido, agrupando crianças, adolescentes, jovens e adultos em blocos de idade, sem vincular esses grupos aos níveis definidos na legislação educacional.",A
176,METODOLOGIAS DO ENSINO DE LÍNGUAS ESTRANGEIRAS,Múltipla Escolha Complexa,Avaliar,"Uma professora de Língua Inglesa do Ensino Fundamental, em uma escola pública, está revisando seu planejamento anual à luz da BNCC e dos documentos curriculares locais. Ao analisar suas aulas anteriores, percebe que privilegiou a memorização de listas de vocabulário e estruturas gramaticais descontextualizadas, com ênfase na correção de erros segundo modelos de manuais importados. Em reuniões pedagógicas, a coordenação destaca a importância de propor situações de uso da língua em práticas de linguagem significativas, explorando diferentes mídias, gêneros textuais e repertórios linguísticos presentes na comunidade escolar. A professora observa que seus estudantes mantêm pouco engajamento nas atividades escritas e orais, embora demonstrem curiosidade por músicas, jogos on-line e produções digitais em inglês. Ao reorganizar o planejamento, ela precisa decidir quais estratégias de ensino priorizar para alinhar sua prática às orientações atuais para o componente Língua Inglesa no Ensino Fundamental.","Considerando o contexto apresentado, é correto APENAS o que se afirma em:","Planejar sequências em que os estudantes produzam e revisem pequenos textos multimodais, como comentários, convites e postagens digitais em língua inglesa, vinculados a situações reais de participação em sua comunidade escolar e em redes sociais educativas.","Organizar unidades didáticas em torno de temas culturais locais e globais, articulando leitura, escuta e produção oral em língua inglesa, admitindo que os estudantes mobilizem seus diferentes repertórios linguísticos para resolver tarefas colaborativas e negociar sentidos.","Retomar um planejamento que combine atividades de sistematização de vocabulário e estruturas gramaticais com propostas de uso da língua em situações de interação, ainda que a professora mantenha como critério central de avaliação a reprodução de modelos de falantes nativos e a correção estrita segundo normas externas ao contexto dos estudantes.","Integrar músicas, vídeos e jogos em língua inglesa ao longo do ano letivo, articulando-os a projetos e sequências didáticas, mas utilizando-os principalmente como ilustração de regras gramaticais isoladas, sem explorar seu potencial como práticas de linguagem e de participação em diferentes gêneros e culturas.",,,I e III estão corretas,II e IV estão corretas,"I, II e III estão corretas","I, II e IV estão corretas","I, II, III e IV estão corretas",D
184,Cálculo Diferencial e Integral III,Múltipla Escolha Simples,Avaliar,"Considere a transformação de variáveis dada por $x=u+v+w$, $y=u-v+w$ e $z=u+v-w$. Um estudante deseja calcular o volume do sólido $S$, definido no espaço cartesiano pelas desigualdades $0\le x+y\le 2$, $0\le x+z\le 2$ e $0\le y+z\le 2$, por meio da integral tripla após a mudança de coordenadas. Sabe-se que, no novo sistema, o domínio correspondente é o cubo $0\le u\le 1$, $0\le v\le 1$, $0\le w\le 1$.","Qual deve ser o fator multiplicativo correto da função integranda ao reescrever a integral tripla em coordenadas $(u,v,w)$?",,,,,,,"$\left|\dfrac{\partial(x,y,z)}{\partial(u,v,w)}\right|=4$, pois a transformação é linear e o volume é ampliado por esse fator no novo sistema.","$\left|\dfrac{\partial(u,v,w)}{\partial(x,y,z)}\right|=\dfrac{1}{4}$, pois o jacobiano deve ser o inverso da transformação direta.","$\left|\dfrac{\partial(x,y,z)}{\partial(u,v,w)}\right|=8$, pois cada variável depende de três parâmetros e os coeficientes da transformação devem ser multiplicados.","$\left|\dfrac{\partial(x,y,z)}{\partial(u,v,w)}\right|=2$, pois apenas duas combinações lineares independentes aparecem nas restrições do sólido.","$\left|\dfrac{\partial(x,y,z)}{\partial(u,v,w)}\right|=1$, pois mudanças lineares de coordenadas não alteram o elemento de volume.",A
186,Cálculo Diferencial e Integral III,Múltipla Escolha Simples,Avaliar,"Em um estudo sobre o resfriamento de um corpo, um grupo modelou a temperatura $T$ em função do tempo $t$ por meio da relação $\frac{dT}{dt}+kT=0$, com $k>0$. Em seguida, outro grupo propôs uma modelagem da temperatura $u(x,t)$ em uma barra, em que a variação no tempo dependia também da posição, usando $\frac{\partial u}{\partial t}=\alpha \frac{\partial^2 u}{\partial x^2}$. Por fim, um terceiro grupo analisou a equação $T\,\frac{d^2T}{dt^2}+\left(\frac{dT}{dt}\right)^2=e^t$.","Com base nas modelagens apresentadas, qual alternativa classifica corretamente a ordem e o tipo das equações, distinguindo EDOs de EDPs?",,,,,,,A primeira é uma EDO linear de 1ª ordem; a segunda é uma EDP de 2ª ordem; a terceira é uma EDO não linear de 2ª ordem.,A primeira é uma EDO não linear de 1ª ordem; a segunda é uma EDO linear de 2ª ordem; a terceira é uma EDO linear de 2ª ordem.,A primeira é uma EDP de 1ª ordem; a segunda é uma EDO de 2ª ordem; a terceira é uma EDP não linear de 2ª ordem.,A primeira é uma EDO linear de 2ª ordem; a segunda é uma EDP de 1ª ordem; a terceira é uma EDO não linear de 1ª ordem.,A primeira é uma EDO linear de 1ª ordem; a segunda é uma EDO de 2ª ordem; a terceira é uma EDP linear de 2ª ordem.,A
188,ARTE CONTEMPORÂNEA,Múltipla Escolha Complexa,Avaliar,"Uma curadoria independente é convidada a organizar uma exposição contemporânea em um antigo galpão industrial de uma grande cidade europeia. O espaço mantém piso gasto, paredes descascadas e estrutura metálica aparente. A curadora decide desenvolver um núcleo dedicado à Arte Povera, articulando artistas históricos e jovens artistas locais. O objetivo é tensionar a relação entre arte e vida cotidiana, evitando que o espaço expositivo pareça um ambiente de luxo ou de consumo sofisticado. Nas reuniões com a equipe, surgem divergências: alguns defendem iluminação dramática e vitrines de vidro para valorizar visualmente as obras; outros propõem intervenções diretamente no chão, uso de materiais encontrados no entorno do galpão e montagem que enfatize a fricção entre objetos ordinários e o corpo do visitante. Diante desses impasses, a curadora precisa definir critérios para a montagem.","Considerando o contexto apresentado, é correto APENAS o que se afirma em:","Ao optar por instalar obras que utilizam materiais ordinários diretamente sobre o piso desgastado, sem bases de madeira ou pedestais, a curadora preserva a aproximação entre arte e experiência cotidiana, reduzindo a sofisticação cenográfica da exposição.","Ao autorizar o uso de vitrines de vidro com iluminação interna dirigida para isolar cada objeto, a curadora reforça a crítica à tradição expositiva, pois transforma materiais comuns em peças que se confundem com o ambiente usual do visitante.","Ao recusar um projeto de ambientação que prevê revestir o galpão com painéis brancos e piso nivelado para uniformizar o espaço, a curadora mantém a tensão entre obras e contexto, evitando mascarar o caráter bruto da montagem.","Ao exigir que todas as obras sejam apresentadas com suportes metálicos padronizados, acabamento polido e legendas em painéis luminosos, a curadora fortalece a intenção de aproximar a exposição de situações ordinárias, minimizando o impacto do aparato expositivo.",,,I e III estão corretas,II e IV estão corretas,I e II estão corretas,"I, II e III estão corretas","I, II, III e IV estão corretas",A
192,FISIOTERAPIA DERMATOFUNCIONAL,Múltipla Escolha Complexa,Avaliar,"Um fisioterapeuta dermatofuncional recebe em ambulatório uma paciente de 32 anos, com queimaduras profundas em tronco e membros superiores há 4 meses, já com reepitelização completa, porém com cicatrizes rígidas, zonas de retração em axilas e cotovelos, dor à mobilização e importante limitação de alcance funcional para atividades de autocuidado. No prontuário constam internação prolongada, enxertias e episódios de infecção controlada. Na avaliação inicial, o profissional observa alterações de amplitude de movimento, assimetria postural, aumento de tônus em musculatura acessória da respiração e queixa de fadiga ao elevar os membros superiores. Diante desse quadro, ele precisa julgar prioridades terapêuticas para organizar a primeira semana de atendimento, considerando segurança tecidual, prevenção de contraturas e retomada gradual da funcionalidade.","Considerando o contexto apresentado, é correto APENAS o que se afirma em:","Programar sessões em que a paciente realize exercícios ativos-assistidos e ativos, dentro do limite de dor suportável, associados a alongamentos mantidos e posicionamentos funcionais, ajustando diariamente a carga conforme a resposta tecidual.","Priorizar, na primeira semana, repouso relativo dos membros superiores, evitando elevações acima da linha do ombro e alongamentos mantidos, a fim de não desencadear dor e proteger as áreas enxertadas já cicatrizadas.","Incluir desde o início exercícios respiratórios orientados, treino de sedestação ereta prolongada e estímulo à marcha com supervisão, adaptando a duração das atividades à tolerância da paciente e monitorando sinais de fadiga.","Organizar o plano terapêutico com foco predominante em técnicas passivas de relaxamento e analgesia, postergando mobilizações articulares mais amplas até que a paciente não refira dor durante a palpação das cicatrizes.",,,I e III estão corretas,II e IV estão corretas,"I, II e III estão corretas","I, II e IV estão corretas","I, II, III e IV estão corretas",A
